"inputs","outputs"
0.2362,0.16236702870483
0.9415,0.479356335947897
0.3495,0.0957332423075683
0.32,-0.11178286378188
0.8335,0.386011761503039
0.6388,-0.0259676812395223
0.3547,-0.112213448318825
0.08,-0.0135487695389489
0.6809,0.20188876727722
0.6854,0.187492274031133
0.6944,0.0964816103232272
0.2493,-0.194607165702802
0.1859,0.00787504962140766
0.1636,-0.062906638297281
0.4724,0.0845714339088951
0.3074,-0.024112254345075
0.2779,0.0651833120917878
0.1364,0.161756353276856
0.5503,0.0595196268866681
0.5083,-0.00931234455524861
0.1131,-0.210353101098251
0.3266,-0.105874751492926
0.6624,0.154169141036404
0.3628,-0.123422441396189
0.4744,0.0010516838485996
0.3927,-0.0237630671150162
0.6605,-0.0272697040927147
0.1884,-0.00582319738865199
0.1657,0.0455317326921136
0.6047,0.00869267101162739
0.9721,0.330334417789518
0.1989,-0.0215955428900719
0.9105,0.500131675989975
0.7977,0.280064558494945
0.392,-0.0250285789879525
0.6607,0.032878808667279
0.3392,-0.00389067569788833
0.7747,0.173319421521069
0.6385,0.196596425365316
0.4785,0.0693434694466481
0.0366,0.0428060889831176
0.9449,0.418836442787806
0.3171,-0.0448812353131817
0.1326,-0.198590186003353
0.0167,0.00660879134253157
0.7104,0.0695235411073461
0.8807,0.322862088734633
0.7547,0.0677367759563496
0.5402,0.0403726102480595
0.8392,0.221001431594488
0.39,-0.266375595797531
0.6533,0.118147600446742
0.7342,0.0856630834745703
0.0426,0.0437945888334541
0.5501,-0.0181918897561303
0.5838,-0.108002832616993
0.1945,-0.0635615350411142
0.0967,0.0445009497387649
0.7655,0.248543945156352
0.5895,0.128235728482174
0.233,-0.242052055933036
0.019,-0.0463143955873784
0.2292,-0.12005264602897
0.7166,0.183616484283199
0.0211,0.0790126279938943
0.781,0.0811088395575391
0.9043,0.297633230706921
0.9857,0.796790472055676
0.9225,0.450878293792904
0.857,0.283468683621725
0.0461,0.0530846599417727
0.6392,0.0506164496007796
0.7394,0.229388943932017
0.0119,0.0659974059240351
0.1399,-0.116467334881514
0.3842,-0.00081818486343474
0.2401,-0.111231199476138
0.5147,-0.180449044355711
0.0886,-0.109310410323735
0.4599,-0.156612320990921
0.0932,0.0312553348521499
0.3329,0.0151872590505673
0.929,0.332133699150853
0.0853,0.0713613603441738
0.1009,-0.101107003446945
0.5233,-0.0304088520989418
0.8352,0.248081871062604
0.2384,-0.135577495779761
0.1194,-0.160431787577938
0.1797,-0.0934859621104097
0.8675,0.287334881638332
0.0839,0.0247640000744193
0.2533,-0.0577159195410515
0.8147,0.159630523107322
0.4461,-0.00303326493228238
0.4375,-0.107698570210001
0.7254,0.199291981472875
0.6733,0.0788647213830327
0.1441,-0.120234175845838
0.7696,0.176995817781596
0.0578,-0.073890979419528
0.5216,-0.0188223992166697
0.1422,-0.0701189482084833
0.0387,0.0366509559682711
0.0873,0.0125975361827226
0.431,-0.00526137008312041
0.628,0.0781521486971886
0.3786,-0.0835907961464177
0.2383,-0.220476205742285
0.2356,-0.0777298892869561
0.9957,0.750855573744743
0.5086,-0.000300530806322488
0.5146,0.0447597863977576
0.8376,0.146585521026725
0.7942,0.216924648797695
0.8708,0.410689648051324
0.8179,0.290561405721422
0.7013,0.142729870322677
0.2056,0.164436113643131
0.9853,0.556662848165616
0.629,-0.110704313127558
0.9247,0.34884834839564
0.0301,0.153462090577027
0.7544,0.0229559838756943
0.6723,0.0471086888474614
0.3543,-0.0384129889518678
0.3047,-0.267651205383429
0.4776,-0.0381731527866788
0.3255,-0.0930569076345457
0.3364,-0.146467789283333
0.7688,0.219495820693119
0.7969,0.282056720170793
0.13,0.087776188626063
0.7174,0.0281285293366978
0.594,-0.042180651937256
0.4333,-0.0233572429754927
0.7933,0.168271114082902
0.8221,0.244640793483205
0.9621,0.604185369428032
0.9111,0.263483069700477
0.1027,-0.135405308458005
0.738,0.13555886074723
0.5293,0.00988451845665794
0.3541,-0.0194413761265896
0.918,0.388381407012479
0.6772,0.0305804728628101
0.0591,-0.113725243978807
0.4204,-0.161605400998415
0.4621,0.00315822851325695
0.487,0.0396536880249701
0.5875,0.0967480825972857
0.5384,0.0328621232058282
0.4266,-0.165690688077436
0.7832,0.165683342950365
0.6363,0.167650233617899
0.3316,0.0157019140386303
0.1079,0.153949025809129
0.1283,0.0496823361318717
0.0053,0.0266281580764943
0.2358,-0.162709023413202
0.3856,-0.129334238753524
0.1603,0.032440708114656
0.513,0.20194909807136
0.0746,-0.202261267679508
0.0618,-0.0614244101092301
0.9877,0.51908091406678
0.1974,-0.0117389244145411
0.406,-0.17260856844978
0.595,-0.155334125192409
0.2429,-0.00950670064110851
0.3401,0.0460642213481566
0.9139,0.425655503200016
0.8081,0.367732953170418
0.3155,0.0199421673931788
0.2244,0.0556142271827164
0.6266,0.214401301081357
0.0242,-0.0251732101786791
0.0446,-0.0638910694862799
0.4662,-0.0144163823157932
0.8666,0.298658178757167
0.8591,0.199241121637196
0.6033,-0.00310643204946807
0.3665,-0.0917671972197993
0.2286,-0.145601104881631
0.6805,0.0672025664942223
0.7551,0.185236057901174
0.5403,0.0535319446869694
0.4782,-0.140939164085498
0.9434,0.644800631834688
0.4146,0.0898431505698167
0.0216,0.10662954114169
0.3712,-0.154856435294704
0.2568,-0.142188729933438
0.303,-0.0252964724022217
0.2388,-0.0549210862396263
0.7572,0.254076867884751
0.3695,-0.0645696780778716
0.084,0.0383328052318827
0.7329,0.256158984677745
0.5398,0.0395234334148784
0.5748,-0.124121098664808
0.2451,-0.0903881981897761
0.442,0.0852629110800566
0.9475,0.554276377697197
0.0588,-0.142691397676684
0.4468,-0.0719181089222625
0.3327,-0.0601912369449849
0.0939,0.178582240039499
0.5421,-0.150534960551353
0.1121,-0.0192482677370258
0.3536,-0.122249120225201
0.2974,-0.152227874439162
0.2516,-0.121787994734017
0.2329,-0.0600657032734498
0.9536,0.427091230918176
0.0871,0.108741841843239
0.3235,0.0199113179316447
0.0634,-0.0117001758630823
0.7488,-0.0400777227197179
0.0692,0.0433677921951518
0.6416,0.102746548430388
0.4268,-0.115409314564933
0.806,0.0862783863122577
0.5688,0.091749100079695
0.5138,-0.0594337826563206
0.9397,0.462168018607095
0.8194,0.156912991432402
0.8947,0.360995565045095
0.7297,0.246612778725165
0.2858,-0.315585132405034
0.2048,-0.0770566491269708
0.9327,0.532136565802298
0.0263,-0.0716880459494391
0.4203,-0.0408816368172581
0.0981,0.169021005707809
0.0435,-0.0180690121581004
0.443,-0.0802219105861786
0.9138,0.444968832866402
0.1108,0.0306268440522962
0.1171,0.126800190015137
0.3143,0.00713911449777634
0.5454,-0.0609799233861293
0.7755,0.164431679612087
0.5371,-0.19004631275805
0.7708,0.258926871936876
0.9455,0.394595347901013
0.0437,-0.0554140452214544
0.9592,0.530111763174608
0.6104,0.155971796847771
